entity_name,website,lob_total_15yr,lob_total_10yr,lob_total_5yr,lob_total_2025,has_lobbying,donor_type,cf_politician_reference,cf_total_15yr,cf_total_10yr,cf_total_5yr,cf_total_2025,has_cf,ie_politician_reference,ie_total_15yr,ie_total_10yr,ie_total_5yr,ie_total_2025,has_ie,grand_total_15yr,grand_total_10yr,grand_total_5yr,grand_total_2025,qualifies_15yr,qualifies_10yr,qualifies_5yr,qualifies_2025
Maximus,,1877500.0,1412500.0,725000.0,85000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1877500.0,1412500.0,725000.0,85000.0,True,True,True,True
Tennessee Infrastructure Alliance,,1837500.0,1252500.0,205000.0,115000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1837500.0,1252500.0,205000.0,115000.0,True,True,True,True
Tennessee Association Of Utility Districts,,1410000.0,1050000.0,550000.0,140000.0,True,Company,0,398000.0,339450.0,233850.0,47000.0,True,0.0,0.0,0.0,0.0,0.0,False,1808000.0,1389450.0,783850.0,187000.0,True,True,True,True
Tennessee Credit Union League,,1497500.0,945000.0,502500.0,102500.0,True,Company,0,306020.0,270250.0,173000.0,29500.0,True,0.0,0.0,0.0,0.0,0.0,False,1803520.0,1215250.0,675500.0,132000.0,True,True,True,True
Tennessee Pharmacists Association,,800000.0,620000.0,357500.0,65000.0,True,Company,0,999724.0,564450.0,232450.0,32000.0,True,0.0,0.0,0.0,0.0,0.0,False,1799724.0,1184450.0,589950.0,97000.0,True,True,True,True
Southern Company Gas,,1710000.0,1337500.0,537500.0,85000.0,True,Company,0,87500.0,63500.0,11000.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,1797500.0,1401000.0,548500.0,85000.0,True,True,True,True
Beacon Center Of Tennessee,,1795000.0,1690000.0,1192500.0,230000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1795000.0,1690000.0,1192500.0,230000.0,True,True,True,True
Service Employees International Union,,1595000.0,955000.0,320000.0,0.0,True,Company,0,172948.0,110730.0,73680.0,2000.0,True,0.0,10502.76,8357.79,4230.67,0.0,True,1778450.76,1074087.79,397910.67,2000.0,True,True,True,False
Nashville Convention And Visitors Bureau,,1770000.0,1575000.0,1062500.0,210000.0,True,Company,0,7000.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,1777000.0,1575000.0,1062500.0,210000.0,True,True,True,True
Piedmont Natural Gas,,1765000.0,1312500.0,700000.0,210000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1765000.0,1312500.0,700000.0,210000.0,True,True,True,True
Anheuser-Busch,,1407500.0,925000.0,425000.0,85000.0,True,Company,0,356550.0,141000.0,1000.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,1764050.0,1066000.0,426000.0,85000.0,True,True,True,True
Volkswagen,,1722500.0,1350000.0,762500.0,122500.0,True,Company,0,37500.0,25000.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,1760000.0,1375000.0,762500.0,122500.0,True,True,True,True
Consumer Healthcare Products Association,,1752500.0,627500.0,170000.0,0.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,1752500.0,627500.0,170000.0,0.0,True,True,True,False
Novartis,,1732500.0,1152500.0,497500.0,105000.0,True,Company,0,7400.0,500.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,1739900.0,1153000.0,497500.0,105000.0,True,True,True,True
Verizon,,1617500.0,1167500.0,762500.0,160000.0,True,Company,0,88650.0,68100.0,30500.0,11000.0,True,0.0,0.0,0.0,0.0,0.0,False,1706150.0,1235600.0,793000.0,171000.0,True,True,True,True
